model,test_accuracy,test_f1_macro,test_f1_weighted,val_f1_macro,search_time_s,predict_time_s
Transformer,0.918918918918919,0.9152560113270907,0.9188803664774553,0.9037536564449139,296.5250699520111,0.43030405044555664
CNN,0.8815958815958816,0.8828847261050727,0.8817994934234685,0.9108799854543113,99.28254795074463,0.6959538459777832
LSTM,0.6151866151866152,0.6095877092964525,0.6076117781944197,0.6451019757065624,204.43503999710083,0.17384099960327148
